47
0,1,98,400,5
1,0,404,55,1
2,4,649,57,2
3,6,513,61,3
4,5,374,504,4
5,2,190,508,3
6,3,560,430,3
7,7,619,320,2
8,6,756,298,5
9,3,681,443,1
10,5,503,550,1
11,0,763,190,4
12,2,92,181,1
13,1,528,221,4
14,7,522,148,5
15,4,465,419,4
16,4,732,311,4
17,6,721,215,4
18,0,463,276,2
19,5,94,526,1
20,3,445,257,5
21,7,115,508,2
22,2,730,482,1
23,1,219,352,5
24,3,32,389,2
25,4,134,206,3
26,0,461,521,1
27,1,474,410,1
28,2,539,181,5
29,7,299,435,1
30,6,651,181,3
31,5,105,533,2
32,0,158,435,1
33,5,639,249,1
34,3,584,398,4
35,2,83,328,4
36,4,393,364,2
37,6,558,447,1
38,1,309,500,1
39,7,383,181,4
40,1,201,431,1
41,3,253,383,2
42,2,40,440,3
43,4,593,490,1
44,6,455,529,1
45,7,64,55,1
46,0,181,335,1
/-/
///
11
1
///
1,0,19,19,6
1,23,46,14,4
1,13,33,18,6
1,46,32,14,1
1,19,21,20,4
1,21,31,9,8
1,33,7,5,7
1,32,5,15,13
